Time_Steps,Real_SOC,Predicted_SOC
0,0.2294714824960561,0.22749181
1,0.22564760265573203,0.22359954
2,0.22182085281740604,0.22002603
3,0.21801061584900405,0.21594734
4,0.21418718127181513,0.2119966
5,0.21037886270814155,0.20774959
6,0.20657081293536772,0.20479427
7,0.20276451671453521,0.20122306
8,0.19894892663713493,0.19846834
9,0.19513844038813422,0.19472478
10,0.1913195385578521,0.19142495
11,0.18751035139430072,0.18754001
12,0.18366698951816973,0.18393798
13,0.17986289107650089,0.18061425
14,0.17605169688427236,0.1763284
15,0.1722479228139786,0.1722963
16,0.16842466178274706,0.16810991
17,0.16461617812847795,0.16390611
18,0.16079828718054856,0.15983498
19,0.15698083037838295,0.1562929
20,0.15314242486972163,0.15280032
21,0.14933870934665328,0.14878787
22,0.14553927018029578,0.14511193
23,0.14170954313189066,0.1410171
24,0.13789595248566677,0.13764596
25,0.13407161954903524,0.13394918
26,0.13026782402878367,0.13014038
27,0.12646419514521945,0.12678938
28,0.12263274324129003,0.122094706
29,0.11880907111124728,0.11826113
30,0.11500336734785033,0.11512329
31,0.11119506169069404,0.1115077
32,0.1073968364958231,0.10799505
33,0.10356777981391752,0.104463324
34,0.09975273505219917,0.10055034
35,0.09594398560721806,0.09680717
36,0.09213322851319006,0.09326394
37,0.08831052096680225,0.089560196
38,0.08447911029307087,0.08567302
39,0.08065691502765726,0.081449956
40,0.07681838238491878,0.07695447
41,0.07298042702313734,0.07308407
42,0.06917021146430324,0.07018615
43,0.06535481779387942,0.066694364
44,0.06153110734570422,0.06330247
45,0.057725297982124335,0.05980383
46,0.05391057877953831,0.05585681
47,0.05009531845955595,0.05166088
48,0.046280518832129136,0.047390252
49,0.042481939563780546,0.04274851
50,0.03865509712966064,0.03841877
51,0.03482834431169868,0.0352235
52,0.03102226211396819,0.031954274
53,0.027203902457874962,0.028418131
54,0.02338517815956853,0.024911001
55,0.01949661002495351,0.020865455
56,0.01562126900231231,0.01653485
57,0.011739020378239151,0.01174701
58,0.00784447302692537,0.006540552
59,0.003986693212134962,0.0031367987
60,0.0001311226843224711,-0.00074426085
61,0.00012544478351783628,0.00074759126
62,0.0001238221859425348,-0.00043337047
63,0.00011927865716276909,-0.0015495643
64,0.00011804302355955532,-0.0017002076
65,0.00011605885287269135,-0.0015707314
66,0.00011548139120776124,-0.0014446229
67,0.00011440732221912331,-0.0013376698
68,0.00011171719381342093,-0.0012673885
69,0.00010913701748049842,-0.0011692494
70,0.00010812088280487409,-0.001110658
71,0.0001048043099839413,-0.0011306852
72,0.00010445603168796058,-0.0010570884
73,0.0001032449852707007,-0.00092146546
74,0.00010210198777982349,-0.0008044988
75,9.920069590596547e-05,-0.00069049
76,9.673728160775052e-05,-0.00055833906
77,9.495716774110541e-05,-0.00045802444
78,9.33081199846475e-05,-0.00033645332
79,9.16568561482034e-05,-0.000227049
80,8.781247856726182e-05,-0.00012802333
81,8.375083974831998e-05,-5.914271e-05
82,7.801708249099981e-05,-0.0001398325
83,7.15483549869056e-05,-0.00022377819
84,6.862350249703386e-05,-0.00036640465
85,6.370954465095835e-05,-0.00037384778
86,6.129373706964536e-05,-0.00045917183
87,5.8519113652955035e-05,-0.0005775541
88,5.496952065608962e-05,-0.0005963072
89,5.003670142367245e-05,-0.00065001845
90,4.536047331893389e-05,-0.0007032901
91,4.4120180161089095e-05,-0.00076851994
92,3.440135953847179e-05,-0.00058446825
93,3.201852355616541e-05,-0.00052055717
94,2.3278897722911474e-05,-0.00032617152
95,1.92758428142481e-05,-0.0002705902
96,1.8351522523385455e-05,-0.00027731806
97,1.382175266095853e-05,-0.0001604259
98,9.761029553634337e-06,-0.00011254847
99,6.162719529911875e-06,-6.905943e-05
100,5.591313095298922e-06,-7.2196126e-05
101,3.368608010534402e-06,0.00010152906
102,2.141540386024765e-06,0.00043714792
103,1.666074868178491e-06,0.0008383766
104,0.0,0.0011840537
105,1.0,1.0019339
106,0.9999990032433353,1.0015213
107,0.9958634762896281,1.0067583
108,0.9920477056049064,0.99751663
109,0.9882539095933995,0.9905051
110,0.9844215937573091,0.9842979
111,0.9805900349045611,0.9788979
112,0.9767629048276448,0.97422457
113,0.9729023871665105,0.9699701
114,0.9690758399247612,0.96601033
115,0.9652718557685787,0.96260464
116,0.961430992271433,0.9591484
117,0.9576171632972038,0.9555353
118,0.953778443656678,0.9521111
119,0.9499553659443488,0.94891775
120,0.9461082440075204,0.94586515
121,0.9422868187890224,0.94188726
122,0.9384553571212959,0.9377886
123,0.934639275934165,0.93376803
124,0.9307947783490909,0.9300475
125,0.9269717200978459,0.9262037
126,0.9231618081473881,0.92255163
127,0.9192997800789021,0.9192383
128,0.9154805392389845,0.91524315
129,0.9116473298539738,0.91064525
130,0.9078400191511204,0.9066139
131,0.9040088651003015,0.90299964
132,0.9001691524722064,0.8991122
133,0.8963446244045926,0.89501184
134,0.8925195694317136,0.89118874
135,0.8886860726126768,0.88742733
136,0.8848624534098466,0.883324
137,0.8810501684252611,0.87946516
138,0.8772248319731295,0.8757038
139,0.873405423469615,0.87173754
140,0.869543989686217,0.8677095
141,0.86569255446488,0.86411226
142,0.861867827924734,0.8596462
143,0.8580326858760975,0.85569805
144,0.8542081924087205,0.85187703
145,0.8503918028606315,0.8481878
146,0.8465772812850461,0.8443178
147,0.842739021305703,0.84071314
148,0.838889916852998,0.8368418
149,0.835054050540706,0.8326244
150,0.8312563672397619,0.82875335
151,0.827412746265517,0.82507896
152,0.8235887008516118,0.8212303
153,0.8197626356162262,0.81759584
154,0.8159328613903891,0.8137258
155,0.8120812109006077,0.809676
156,0.8082485858214059,0.80514765
157,0.804409984882366,0.8007838
158,0.8005959467618393,0.79680634
159,0.7967657833096858,0.7921245
160,0.7929374964399271,0.7877725
161,0.7891350567744446,0.7833243
162,0.7852944965358366,0.77982813
163,0.781468485547572,0.77538323
164,0.7776439403737718,0.7715172
165,0.7738318590702025,0.7672125
166,0.7700111404385392,0.7629373
167,0.7661694717959507,0.75937754
168,0.7623504949125458,0.7558124
169,0.7585080021790481,0.75229025
170,0.7546677399575925,0.7486594
171,0.7508280980980753,0.7449128
172,0.7470224401453864,0.74103737
173,0.7431969642955645,0.73763734
174,0.7393561631974417,0.7344149
175,0.7355443079736916,0.7306457
176,0.7316992097252745,0.7275567
177,0.7278577813071871,0.7242961
178,0.7240372150506951,0.72042143
179,0.7202125779253019,0.71665204
180,0.7163830086692129,0.7128668
181,0.7125578600666271,0.7095325
182,0.7087395329768285,0.70558673
183,0.7049162007523355,0.7023221
184,0.7010852236012439,0.6987569
185,0.6972771841744705,0.6952294
186,0.6934601381472967,0.69129455
187,0.6896442450090006,0.68760175
188,0.685793060790566,0.6838035
189,0.6819375406316546,0.6806519
190,0.6781117762406972,0.67651093
191,0.6742800529919045,0.6728815
192,0.6704604351791768,0.66943467
193,0.6666166611194577,0.6660111
194,0.6627901299030696,0.6619994
195,0.6589469960554899,0.65774757
196,0.655108562280002,0.65480566
197,0.6512647455055789,0.65096456
198,0.6474591723061239,0.6477321
199,0.6436254650651207,0.6440029
200,0.6397974989124725,0.63996184
201,0.6359735634911572,0.6368415
202,0.6321388359876349,0.6313899
203,0.6283302658556671,0.6272676
204,0.6244915746039774,0.6235409
205,0.6206744744546843,0.61981547
206,0.6168483724847325,0.6156963
207,0.6129986387678839,0.6120108
208,0.6091591510651582,0.607993
209,0.60533372875269,0.60385746
210,0.6014967999771612,0.59971017
211,0.5976682477192407,0.59564394
212,0.5938463655223658,0.5913012
213,0.5900351093143765,0.58796245
214,0.5862066231752036,0.5842892
215,0.5823860152127649,0.57960534
216,0.5785599015815024,0.57583207
217,0.5747267687249376,0.5717517
218,0.5708963947480906,0.5683986
219,0.5670867229643222,0.56444037
220,0.5632802098863479,0.5605303
221,0.5594778995990098,0.5566112
222,0.5556501784842984,0.5527621
223,0.5518261624468155,0.54887164
224,0.5480002451489736,0.544955
225,0.5441760855423547,0.54089034
226,0.5403312155588835,0.53736854
227,0.5365206801057014,0.5333725
228,0.5326874355768829,0.52992606
229,0.5288448889559618,0.5261386
230,0.5250147028525884,0.522228
231,0.5211995211822463,0.518517
232,0.5173721144529835,0.5150019
233,0.5135616658317335,0.5113808
234,0.509735189841574,0.5080127
235,0.5059195920002135,0.504567
236,0.5020934859003885,0.50056183
237,0.4982824769581091,0.4961695
238,0.4944544547152263,0.4925593
239,0.49062959119070737,0.48825574
240,0.48681732814764145,0.48437607
241,0.4829826178031338,0.4807403
242,0.47914187814024245,0.47666442
243,0.4753116267248111,0.4726526
244,0.47148291645859874,0.46885204
245,0.46765651591182644,0.46477646
246,0.4638497476391942,0.46094197
247,0.46002339587914376,0.4568993
248,0.4561781093632641,0.45301354
249,0.4523680441829422,0.4485579
250,0.44853209153188456,0.4442516
251,0.44470989219075585,0.44080734
252,0.44085939178202616,0.43653524
253,0.43705055209512045,0.43261135
254,0.43320817798687106,0.42823195
255,0.4293783149542777,0.424415
256,0.4255513430005994,0.42085057
257,0.4217480134872462,0.4166453
258,0.4179065246458178,0.41255713
259,0.4140754040884598,0.4082024
260,0.41027638173574343,0.4046182
261,0.40642022413006307,0.40188682
262,0.4025971072973793,0.39861155
263,0.39877205750416456,0.39558762
264,0.3949343684077873,0.39259154
265,0.39109557158606745,0.3891104
266,0.38727659059589337,0.38540173
267,0.38344565383981033,0.3812722
268,0.37962390018201386,0.37775934
269,0.37578880212361876,0.37433076
270,0.37198055481691183,0.3704216
271,0.368143397905613,0.367217
272,0.36431137017011983,0.36333936
273,0.3604833698011328,0.3589378
274,0.35666219654198283,0.355102
275,0.35282836459782496,0.35133302
276,0.34900121246996374,0.34786797
277,0.3451836261911181,0.34390336
278,0.3413344860198152,0.33972526
279,0.3375242249102163,0.3355257
280,0.3336663321019697,0.33145356
281,0.32983071058266566,0.32725072
282,0.3260083025879945,0.3235383
283,0.3221598836024703,0.31998467
284,0.3183225756535354,0.31529564
285,0.3144985688953773,0.31108356
286,0.3107049391564538,0.30732667
287,0.30686311195802807,0.30347812
288,0.30303976698470714,0.29999584
289,0.2992069638889292,0.29640687
290,0.2953827385394252,0.2924388
291,0.29154117750834907,0.28879803
292,0.2877225616832212,0.28507167
293,0.28388284069528236,0.28040075
294,0.2800486851989188,0.27630877
295,0.27624016864727774,0.2724386
296,0.2723989113766503,0.26882017
297,0.2685761220513282,0.26423818
298,0.26474165629343926,0.26015157
299,0.2609266174574555,0.2554559
300,0.25710440097850873,0.25220728
301,0.25325005968712544,0.2478884
302,0.2494360744499895,0.24351396
303,0.24564000711674572,0.2396927
304,0.2418280656467624,0.23660876
305,0.2380083155260202,0.2328315
306,0.23418085915886389,0.22907735
307,0.23035562472077997,0.22494473
308,0.22653322877611914,0.22102733
309,0.22268976989208789,0.21701331
310,0.21886781476979145,0.21361746
311,0.2150505665216601,0.20917527
312,0.21121485786848448,0.20574816
313,0.20737413829034168,0.20259364
314,0.20354557113876792,0.199142
315,0.19972206685334493,0.19570716
316,0.19591067449297372,0.19201316
317,0.19206495888548536,0.18876584
318,0.18824862714357815,0.18472059
319,0.18443063418184225,0.18103467
320,0.18060278363507987,0.17730932
